customer_id,acquisition_date,acquisition_channel,lead_source,geography,industry,customer_type,initial_plan,initial_subscription_type,cac
CUST_1000,2022-01-09,Email Campaigns,Social Media,North America,Healthcare,SMBs,Pro,monthly,150
CUST_1001,2022-12-30,Organic Search,Social Media,Asia-Pacific,Healthcare,SMBs,Pro,annual,50
CUST_1002,2023-02-02,Paid Ads,Direct Referral,North America,Tech,Enterprise,Basic,monthly,250
CUST_1003,2023-06-17,Email Campaigns,Website Form,North America,Tech,SMBs,Pro,annual,150
CUST_1004,2022-07-08,Paid Ads,Direct Referral,North America,Tech,SMBs,Basic,annual,250
CUST_1005,2022-01-24,Organic Search,Website Form,North America,Retail,Mid-Market,Enterprise,monthly,50
CUST_1006,2022-01-21,Organic Search,Direct Referral,Asia-Pacific,Healthcare,Mid-Market,Pro,annual,50
CUST_1007,2022-04-27,Organic Search,Conference,North America,Retail,SMBs,Pro,monthly,50
CUST_1008,2022-09-08,Paid Ads,Website Form,North America,Healthcare,Mid-Market,Basic,annual,250
CUST_1009,2023-04-10,Paid Ads,Website Form,Europe,Tech,SMBs,Pro,annual,250
CUST_1010,2022-10-08,Paid Ads,Website Form,North America,Healthcare,Mid-Market,Basic,annual,250
CUST_1011,2022-09-26,Paid Ads,Direct Referral,North America,Retail,Mid-Market,Basic,annual,250
CUST_1012,2023-06-23,Organic Search,Website Form,North America,Other,Enterprise,Basic,annual,50
CUST_1013,2022-03-16,Paid Ads,Partner,North America,Healthcare,Enterprise,Pro,monthly,250
CUST_1014,2022-08-17,Paid Ads,Social Media,North America,Retail,Mid-Market,Basic,annual,250
CUST_1015,2022-04-29,Organic Search,Website Form,North America,Healthcare,SMBs,Basic,annual,50
CUST_1016,2022-01-27,Email Campaigns,Website Form,Europe,Healthcare,SMBs,Pro,annual,150
CUST_1017,2022-10-02,Email Campaigns,Social Media,Asia-Pacific,Healthcare,SMBs,Pro,monthly,150
CUST_1018,2022-06-19,Organic Search,Social Media,Europe,Healthcare,Mid-Market,Pro,annual,50
CUST_1019,2023-02-07,Email Campaigns,Website Form,Asia-Pacific,Retail,SMBs,Pro,monthly,150
CUST_1020,2022-11-30,Paid Ads,Social Media,North America,Education,Mid-Market,Basic,monthly,250
CUST_1021,2022-05-09,Email Campaigns,Website Form,North America,Retail,Mid-Market,Basic,annual,150
CUST_1022,2022-11-09,Paid Ads,Website Form,North America,Tech,Enterprise,Pro,annual,250
CUST_1023,2022-06-21,Paid Ads,Social Media,North America,Tech,Mid-Market,Pro,annual,250
CUST_1024,2022-12-20,Email Campaigns,Social Media,North America,Tech,SMBs,Pro,annual,150
CUST_1025,2023-06-26,Email Campaigns,Social Media,Europe,Healthcare,SMBs,Enterprise,monthly,150
CUST_1026,2023-05-08,Organic Search,Direct Referral,Europe,Healthcare,SMBs,Basic,monthly,50
CUST_1027,2022-02-10,Paid Ads,Website Form,North America,Tech,SMBs,Pro,annual,250
CUST_1028,2023-03-22,Email Campaigns,Direct Referral,Europe,Healthcare,SMBs,Pro,annual,150
CUST_1029,2022-01-07,Organic Search,Social Media,Europe,Tech,Mid-Market,Basic,annual,50
CUST_1030,2022-04-16,Paid Ads,Conference,North America,Healthcare,SMBs,Pro,monthly,250
CUST_1031,2022-10-20,Paid Ads,Website Form,Asia-Pacific,Education,SMBs,Pro,monthly,250
CUST_1032,2022-01-09,Paid Ads,Website Form,Europe,Healthcare,SMBs,Pro,annual,250
CUST_1033,2022-11-08,Paid Ads,Website Form,Asia-Pacific,Education,SMBs,Basic,annual,250
CUST_1034,2022-02-26,Paid Ads,Website Form,Asia-Pacific,Education,SMBs,Basic,monthly,250
CUST_1035,2022-03-03,Email Campaigns,Social Media,North America,Healthcare,SMBs,Basic,monthly,150
CUST_1036,2023-06-28,Paid Ads,Social Media,North America,Tech,Mid-Market,Basic,annual,250
CUST_1037,2022-12-20,Email Campaigns,Conference,North America,Other,SMBs,Basic,annual,150
CUST_1038,2023-02-21,Paid Ads,Direct Referral,North America,Tech,SMBs,Pro,annual,250
CUST_1039,2022-12-16,Organic Search,Social Media,North America,Other,SMBs,Basic,monthly,50
CUST_1040,2022-08-23,Paid Ads,Website Form,North America,Tech,Mid-Market,Basic,annual,250
CUST_1041,2023-04-02,Organic Search,Direct Referral,North America,Retail,SMBs,Basic,monthly,50
CUST_1042,2022-03-07,Paid Ads,Website Form,North America,Education,SMBs,Basic,monthly,250
CUST_1043,2023-05-17,Paid Ads,Conference,North America,Education,SMBs,Basic,monthly,250
CUST_1044,2023-01-09,Paid Ads,Social Media,North America,Other,SMBs,Pro,annual,250
CUST_1045,2023-01-02,Email Campaigns,Website Form,North America,Retail,Mid-Market,Pro,annual,150
CUST_1046,2022-07-19,Paid Ads,Direct Referral,North America,Tech,Enterprise,Basic,annual,250
CUST_1047,2023-02-24,Paid Ads,Direct Referral,North America,Tech,SMBs,Pro,monthly,250
CUST_1048,2023-01-09,Paid Ads,Partner,North America,Other,SMBs,Basic,annual,250
CUST_1049,2022-09-16,Organic Search,Direct Referral,Europe,Tech,SMBs,Basic,annual,50
CUST_1050,2023-03-27,Organic Search,Website Form,North America,Retail,SMBs,Basic,annual,50
CUST_1051,2022-10-08,Paid Ads,Website Form,North America,Other,SMBs,Pro,annual,250
CUST_1052,2022-10-29,Organic Search,Direct Referral,North America,Tech,SMBs,Pro,annual,50
CUST_1053,2022-10-19,Organic Search,Website Form,Europe,Tech,Mid-Market,Enterprise,monthly,50
CUST_1054,2023-03-08,Paid Ads,Direct Referral,Asia-Pacific,Tech,SMBs,Pro,annual,250
CUST_1055,2023-06-15,Organic Search,Direct Referral,Europe,Retail,SMBs,Pro,monthly,50
CUST_1056,2022-12-24,Email Campaigns,Direct Referral,North America,Tech,Enterprise,Pro,annual,150
CUST_1057,2023-05-14,Paid Ads,Website Form,Europe,Healthcare,SMBs,Basic,annual,250
CUST_1058,2022-09-17,Paid Ads,Social Media,Europe,Tech,SMBs,Pro,monthly,250
CUST_1059,2022-10-02,Organic Search,Website Form,Europe,Healthcare,Mid-Market,Pro,monthly,50
CUST_1060,2022-01-31,Email Campaigns,Social Media,North America,Tech,SMBs,Basic,annual,150
CUST_1061,2022-01-03,Paid Ads,Conference,North America,Education,SMBs,Basic,monthly,250
CUST_1062,2022-04-24,Paid Ads,Website Form,Asia-Pacific,Retail,Mid-Market,Basic,annual,250
CUST_1063,2022-07-02,Organic Search,Partner,Asia-Pacific,Tech,SMBs,Enterprise,annual,50
CUST_1064,2022-03-09,Paid Ads,Website Form,North America,Education,SMBs,Pro,annual,250
CUST_1065,2022-03-28,Paid Ads,Website Form,Europe,Tech,SMBs,Basic,annual,250
CUST_1066,2022-03-30,Organic Search,Website Form,North America,Tech,SMBs,Pro,monthly,50
