date,channel,spend
2022-01-01,Paid Ads,12729
2022-01-01,Organic Search,4357
2022-01-01,Email Campaigns,7441
2022-02-01,Paid Ads,16330
2022-02-01,Organic Search,5190
2022-02-01,Email Campaigns,7697
2022-03-01,Paid Ads,14446
2022-03-01,Organic Search,4696
2022-03-01,Email Campaigns,6992
2022-04-01,Paid Ads,12535
2022-04-01,Organic Search,5114
2022-04-01,Email Campaigns,6050
2022-05-01,Paid Ads,16477
2022-05-01,Organic Search,4866
2022-05-01,Email Campaigns,8528
2022-06-01,Paid Ads,14895
2022-06-01,Organic Search,4293
2022-06-01,Email Campaigns,9138
2022-07-01,Paid Ads,17561
2022-07-01,Organic Search,4577
2022-07-01,Email Campaigns,8935
2022-08-01,Paid Ads,14128
2022-08-01,Organic Search,5182
2022-08-01,Email Campaigns,6647
2022-09-01,Paid Ads,15137
2022-09-01,Organic Search,4027
2022-09-01,Email Campaigns,6504
2022-10-01,Paid Ads,17758
2022-10-01,Organic Search,5967
2022-10-01,Email Campaigns,10000
2022-11-01,Paid Ads,17652
2022-11-01,Organic Search,5456
2022-11-01,Email Campaigns,7431
2022-12-01,Paid Ads,15433
2022-12-01,Organic Search,4761
2022-12-01,Email Campaigns,9558
2023-01-01,Paid Ads,12698
2023-01-01,Organic Search,5633
2023-01-01,Email Campaigns,6025
2023-02-01,Paid Ads,14367
2023-02-01,Organic Search,4066
2023-02-01,Email Campaigns,7089
2023-03-01,Paid Ads,16493
2023-03-01,Organic Search,4152
2023-03-01,Email Campaigns,8204
2023-04-01,Paid Ads,17875
2023-04-01,Organic Search,4402
2023-04-01,Email Campaigns,8259
2023-05-01,Paid Ads,16259
2023-05-01,Organic Search,4402
2023-05-01,Email Campaigns,8659
2023-06-01,Paid Ads,17963
2023-06-01,Organic Search,5191
2023-06-01,Email Campaigns,6840
2023-07-01,Paid Ads,17950
2023-07-01,Organic Search,5047
2023-07-01,Email Campaigns,6841
2023-08-01,Paid Ads,13364
2023-08-01,Organic Search,5378
2023-08-01,Email Campaigns,6097
2023-09-01,Paid Ads,13838
2023-09-01,Organic Search,4223
2023-09-01,Email Campaigns,8216
2023-10-01,Paid Ads,15070
2023-10-01,Organic Search,5447
2023-10-01,Email Campaigns,9447
2023-11-01,Paid Ads,15724
2023-11-01,Organic Search,5675
2023-11-01,Email Campaigns,9229
2023-12-01,Paid Ads,14494
2023-12-01,Organic Search,5347
2023-12-01,Email Campaigns,7012
2024-01-01,Paid Ads,15494
2024-01-01,Organic Search,4729
2024-01-01,Email Campaigns,9851
2024-02-01,Paid Ads,15087
2024-02-01,Organic Search,5525
2024-02-01,Email Campaigns,7781
2024-03-01,Paid Ads,15522
2024-03-01,Organic Search,5970
2024-03-01,Email Campaigns,8372
2024-04-01,Paid Ads,16277
2024-04-01,Organic Search,4758
2024-04-01,Email Campaigns,9054
2024-05-01,Paid Ads,13019
2024-05-01,Organic Search,5277
2024-05-01,Email Campaigns,8912
2024-06-01,Paid Ads,13816
2024-06-01,Organic Search,5758
2024-06-01,Email Campaigns,7747
2024-07-01,Paid Ads,13827
2024-07-01,Organic Search,4900
2024-07-01,Email Campaigns,7893
2024-08-01,Paid Ads,17953
2024-08-01,Organic Search,4657
2024-08-01,Email Campaigns,8245
2024-09-01,Paid Ads,16426
2024-09-01,Organic Search,4564
2024-09-01,Email Campaigns,8341
2024-10-01,Paid Ads,12515
2024-10-01,Organic Search,5257
2024-10-01,Email Campaigns,6457
2024-11-01,Paid Ads,16440
2024-11-01,Organic Search,4431
2024-11-01,Email Campaigns,6804
2024-12-01,Paid Ads,14358
2024-12-01,Organic Search,4409
2024-12-01,Email Campaigns,8162
