order_id,customer_id,order_date,subscription_type,plan_type,revenue,profit,order_type
ORD_1,CUST_1000,2022-01-09,monthly,Pro,135,108.0,initial
ORD_2,CUST_1000,2022-02-01,monthly,Pro,135,108.0,recurring
ORD_3,CUST_1000,2022-03-01,monthly,Pro,135,108.0,recurring
ORD_4,CUST_1000,2022-04-01,monthly,Pro,135,108.0,recurring
ORD_5,CUST_1000,2022-05-01,monthly,Pro,135,108.0,recurring
ORD_6,CUST_1000,2022-06-01,monthly,Enterprise,315,267.75,recurring
ORD_7,CUST_1000,2022-07-01,monthly,Enterprise,315,267.75,recurring
ORD_8,CUST_1000,2022-08-01,monthly,Enterprise,315,267.75,recurring
ORD_9,CUST_1000,2022-09-01,monthly,Enterprise,315,267.75,recurring
ORD_10,CUST_1000,2022-10-01,monthly,Enterprise,315,267.75,recurring
ORD_11,CUST_1000,2022-11-01,monthly,Enterprise,315,267.75,recurring
ORD_12,CUST_1000,2022-12-01,monthly,Enterprise,315,267.75,recurring
ORD_13,CUST_1000,2023-01-01,monthly,Enterprise,315,267.75,recurring
ORD_14,CUST_1000,2023-02-01,monthly,Enterprise,315,267.75,recurring
ORD_15,CUST_1000,2023-03-01,monthly,Enterprise,315,267.75,recurring
ORD_16,CUST_1000,2023-04-01,monthly,Enterprise,315,267.75,recurring
ORD_17,CUST_1000,2023-05-01,monthly,Enterprise,315,267.75,recurring
ORD_18,CUST_1000,2023-06-01,monthly,Enterprise,315,267.75,recurring
ORD_19,CUST_1000,2023-07-01,monthly,Enterprise,315,267.75,recurring
ORD_20,CUST_1000,2023-08-01,monthly,Enterprise,315,267.75,recurring
ORD_21,CUST_1000,2023-09-01,monthly,Enterprise,315,267.75,recurring
ORD_22,CUST_1000,2023-10-01,monthly,Enterprise,315,267.75,recurring
ORD_23,CUST_1000,2023-11-01,monthly,Enterprise,315,267.75,recurring
ORD_24,CUST_1000,2023-12-01,monthly,Enterprise,315,267.75,recurring
ORD_25,CUST_1000,2024-01-01,monthly,Enterprise,315,267.75,recurring
ORD_26,CUST_1000,2024-02-01,monthly,Enterprise,315,267.75,recurring
ORD_27,CUST_1000,2024-03-01,monthly,Enterprise,315,267.75,recurring
ORD_28,CUST_1000,2024-04-01,monthly,Enterprise,315,267.75,recurring
ORD_29,CUST_1000,2024-05-01,monthly,Enterprise,315,267.75,recurring
ORD_30,CUST_1000,2024-06-01,monthly,Enterprise,315,267.75,recurring
ORD_31,CUST_1000,2024-07-01,monthly,Enterprise,315,267.75,recurring
ORD_32,CUST_1000,2024-08-01,monthly,Enterprise,315,267.75,recurring
ORD_33,CUST_1000,2024-09-01,monthly,Enterprise,315,267.75,recurring
ORD_34,CUST_1000,2024-10-01,monthly,Enterprise,315,267.75,recurring
ORD_35,CUST_1000,2024-11-01,monthly,Enterprise,315,267.75,recurring
ORD_36,CUST_1000,2024-12-01,monthly,Enterprise,315,267.75,recurring
ORD_37,CUST_1000,2025-01-01,monthly,Enterprise,315,267.75,recurring
ORD_38,CUST_1001,2022-12-30,annual,Pro,1440,1152.0,initial
ORD_39,CUST_1002,2023-02-02,monthly,Basic,75,56.25,initial
ORD_40,CUST_1002,2023-03-01,monthly,Basic,75,56.25,recurring
ORD_41,CUST_1002,2023-04-01,monthly,Basic,75,56.25,recurring
ORD_42,CUST_1002,2023-05-01,monthly,Basic,75,56.25,recurring
ORD_43,CUST_1002,2023-06-01,monthly,Basic,75,56.25,recurring
ORD_44,CUST_1002,2023-07-01,monthly,Basic,75,56.25,recurring
ORD_45,CUST_1002,2023-08-01,monthly,Basic,75,56.25,recurring
ORD_46,CUST_1002,2023-09-01,monthly,Basic,75,56.25,recurring
ORD_47,CUST_1002,2023-10-01,monthly,Basic,75,56.25,recurring
ORD_48,CUST_1002,2023-11-01,monthly,Basic,75,56.25,recurring
ORD_49,CUST_1002,2023-12-01,monthly,Pro,135,108.0,recurring
ORD_50,CUST_1002,2024-01-01,monthly,Pro,135,108.0,recurring
ORD_51,CUST_1002,2024-02-01,monthly,Pro,135,108.0,recurring
ORD_52,CUST_1002,2024-03-01,monthly,Pro,135,108.0,recurring
ORD_53,CUST_1002,2024-04-01,monthly,Pro,135,108.0,recurring
ORD_54,CUST_1002,2024-05-01,monthly,Enterprise,315,267.75,recurring
ORD_55,CUST_1002,2024-06-01,monthly,Enterprise,315,267.75,recurring
ORD_56,CUST_1002,2024-07-01,monthly,Enterprise,315,267.75,recurring
ORD_57,CUST_1002,2024-08-01,monthly,Enterprise,315,267.75,recurring
ORD_58,CUST_1002,2024-09-01,monthly,Enterprise,315,267.75,recurring
ORD_59,CUST_1002,2024-10-01,monthly,Enterprise,315,267.75,recurring
ORD_60,CUST_1002,2024-11-01,monthly,Enterprise,315,267.75,recurring
ORD_61,CUST_1002,2024-12-01,monthly,Enterprise,315,267.75,recurring
ORD_62,CUST_1002,2025-01-01,monthly,Enterprise,315,267.75,recurring
ORD_63,CUST_1003,2023-06-17,annual,Pro,1440,1152.0,initial
ORD_64,CUST_1003,2024-06-01,annual,Pro,1440,1152.0,renewal
ORD_65,CUST_1004,2022-07-08,annual,Basic,600,450.0,initial
ORD_66,CUST_1004,2023-07-01,annual,Basic,600,450.0,renewal
ORD_67,CUST_1004,2024-07-01,annual,Pro,1440,1152.0,renewal
ORD_68,CUST_1005,2022-01-24,monthly,Enterprise,315,267.75,initial
ORD_69,CUST_1005,2022-02-01,monthly,Enterprise,315,267.75,recurring
ORD_70,CUST_1005,2022-03-01,monthly,Enterprise,315,267.75,recurring
ORD_71,CUST_1005,2022-04-01,monthly,Enterprise,315,267.75,recurring
ORD_72,CUST_1005,2022-05-01,monthly,Enterprise,315,267.75,recurring
ORD_73,CUST_1005,2022-06-01,monthly,Enterprise,315,267.75,recurring
ORD_74,CUST_1005,2022-07-01,monthly,Enterprise,315,267.75,recurring
ORD_75,CUST_1005,2022-08-01,monthly,Enterprise,315,267.75,recurring
ORD_76,CUST_1005,2022-09-01,monthly,Enterprise,315,267.75,recurring
ORD_77,CUST_1005,2022-10-01,monthly,Enterprise,315,267.75,recurring
ORD_78,CUST_1005,2022-11-01,monthly,Enterprise,315,267.75,recurring
ORD_79,CUST_1005,2022-12-01,monthly,Enterprise,315,267.75,recurring
ORD_80,CUST_1005,2023-01-01,monthly,Enterprise,315,267.75,recurring
ORD_81,CUST_1005,2023-02-01,monthly,Enterprise,315,267.75,recurring
ORD_82,CUST_1005,2023-03-01,monthly,Enterprise,315,267.75,recurring
ORD_83,CUST_1005,2023-04-01,monthly,Enterprise,315,267.75,recurring
ORD_84,CUST_1005,2023-05-01,monthly,Enterprise,315,267.75,recurring
ORD_85,CUST_1005,2023-06-01,monthly,Enterprise,315,267.75,recurring
ORD_86,CUST_1005,2023-07-01,monthly,Enterprise,315,267.75,recurring
ORD_87,CUST_1005,2023-08-01,monthly,Enterprise,315,267.75,recurring
ORD_88,CUST_1005,2023-09-01,monthly,Enterprise,315,267.75,recurring
ORD_89,CUST_1005,2023-10-01,monthly,Enterprise,315,267.75,recurring
ORD_90,CUST_1005,2023-11-01,monthly,Enterprise,315,267.75,recurring
ORD_91,CUST_1005,2023-12-01,monthly,Enterprise,315,267.75,recurring
ORD_92,CUST_1005,2024-01-01,monthly,Enterprise,315,267.75,recurring
ORD_93,CUST_1005,2024-02-01,monthly,Enterprise,315,267.75,recurring
ORD_94,CUST_1005,2024-03-01,monthly,Enterprise,315,267.75,recurring
ORD_95,CUST_1005,2024-04-01,monthly,Enterprise,315,267.75,recurring
ORD_96,CUST_1005,2024-05-01,monthly,Enterprise,315,267.75,recurring
ORD_97,CUST_1005,2024-06-01,monthly,Enterprise,315,267.75,recurring
ORD_98,CUST_1005,2024-07-01,monthly,Enterprise,315,267.75,recurring
ORD_99,CUST_1005,2024-08-01,monthly,Enterprise,315,267.75,recurring
ORD_100,CUST_1005,2024-09-01,monthly,Enterprise,315,267.75,recurring
ORD_101,CUST_1005,2024-10-01,monthly,Enterprise,315,267.75,recurring
ORD_102,CUST_1005,2024-11-01,monthly,Enterprise,315,267.75,recurring
ORD_103,CUST_1005,2024-12-01,monthly,Enterprise,315,267.75,recurring
ORD_104,CUST_1005,2025-01-01,monthly,Enterprise,315,267.75,recurring
ORD_105,CUST_1006,2022-01-21,annual,Pro,1440,1152.0,initial
ORD_106,CUST_1006,2023-01-01,annual,Enterprise,3600,3060.0,renewal
ORD_107,CUST_1006,2024-01-01,annual,Pro,1440,1152.0,renewal
ORD_108,CUST_1007,2022-04-27,monthly,Pro,135,108.0,initial
ORD_109,CUST_1007,2022-05-01,monthly,Pro,135,108.0,recurring
ORD_110,CUST_1007,2022-06-01,monthly,Pro,135,108.0,recurring
ORD_111,CUST_1007,2022-07-01,monthly,Pro,135,108.0,recurring
ORD_112,CUST_1007,2022-08-01,monthly,Pro,135,108.0,recurring
ORD_113,CUST_1007,2022-09-01,monthly,Pro,135,108.0,recurring
ORD_114,CUST_1007,2022-10-01,monthly,Pro,135,108.0,recurring
ORD_115,CUST_1007,2022-11-01,monthly,Pro,135,108.0,recurring
ORD_116,CUST_1007,2022-12-01,monthly,Pro,135,108.0,recurring
ORD_117,CUST_1007,2023-01-01,monthly,Enterprise,315,267.75,recurring
ORD_118,CUST_1007,2023-02-01,monthly,Enterprise,315,267.75,recurring
ORD_119,CUST_1008,2022-09-08,annual,Basic,600,450.0,initial
ORD_120,CUST_1008,2023-09-01,annual,Pro,1440,1152.0,renewal
ORD_121,CUST_1008,2024-09-01,annual,Basic,600,450.0,renewal
ORD_122,CUST_1009,2023-04-10,annual,Pro,1440,1152.0,initial
