source_file,query,expected_output
arman_evaluation.csv,What is the January 2023 annual subscription type by initial subscription 12 month revenue retention? Calculate as 12 month revenue divided by initial revenue.,1.41
arman_evaluation.csv,What is the December 2023 annual subscription type by initial subscription 6 month revenue retention? Calculate as 6 month revenue divided by initial revenue.,0.0
arman_evaluation.csv,What is the January 2023 annual subscription type 12 month revenue retention? Calculate as 12 month revenue divided by initial revenue.,1.55
arman_evaluation.csv,What is Content CAC from July 2024 to Dec 2024? Calculate as total spend divided by acquisitions.,2921.0
arman_evaluation.csv,What is monthly plan & pro subscription type churn rate from Jan 2023 to Dec 2023? Calculate as churned subscribers divided by active subscribers on Jan 2023.,0.36
arman_evaluation.csv,How many unique customers ordered a monthly basic plan from Dec 2023 to Feb 2024?,35
arman_evaluation.csv,What is 2024 Contribution Margin? Calculate as sum of 2024 profit minus sum of 2024 marketing expenses.,-1441.29
arman_evaluation.csv,Which marketing acquisition channel has the highest CAC and which has the lowest during the period Feb 2024 to May 2024?,highest_cac_channel='Affiliate' highest_cac_value=4838.0 lowest_cac_channel='Email' lowest_cac_value=571.0
arman_evaluation.csv,What is ARPU for Tech customers in Oct 2024? Calculate as total revenue divided by number of customers.,252.857143
arman_evaluation.csv,What is MRR as of Dec 2024? Calculate based on customer count and ARPU.,13770.0
step1_evaluation.csv,How many customers were active in January 2023? Active customers are those who had subscriptions that started before or during Jan 2023 AND either ended after Jan 1 2023 or are still ongoing.,66
step1_evaluation.csv,Show me the breakdown of customers who were active in January 2023 by their initial subscription type (Monthly vs Annual). Use each customer's very first subscription to determine their original billing preference.,"{
  ""Monthly"": 48,
  ""Annual"": 18
}"
step1_evaluation.csv,"Break down customers who were active in January 2023 by their initial plan type (Basic, Pro, Enterprise). Show the distribution based on their original plan choice.","{
  ""Basic"": 43,
  ""Pro"": 19,
  ""Enterprise"": 4
}"
step1_evaluation.csv,Show the industry distribution of customers who were active in January 2023.,"{
  ""Tech"": 29,
  ""Healthcare"": 17,
  ""Retail"": 8,
  ""Education"": 7,
  ""Other"": 5
}"
step1_evaluation.csv,What are the acquisition channels for customers who were active in January 2023?,"{
  ""Email"": 19,
  ""Social Media"": 15,
  ""Paid Search"": 12,
  ""Affiliate"": 11,
  ""Content"": 9
}"
step2_evaluation.csv,"Calculate the Average Revenue Per User (ARPU) for customers who were active in January 2023, broken down by their initial subscription type (Monthly, Annual, and Total combined). Active customers are those who had subscriptions that started before or during Jan 2023 AND either ended after Jan 1 2023 or are still ongoing. Use their 2023 profit data (Jan-Dec 2023) to calculate ARPU.","{
  ""Annual"": 1346.93,
  ""Monthly"": 1709.18,
  ""Total"": 1610.39
}"
step2_evaluation.csv,"Show ARPU breakdown by initial plan type (Basic, Pro, Enterprise) for customers who were active in January 2023. Use their 2023 profit to calculate average revenue per user by original plan choice.","{
  ""Basic"": 1167.33,
  ""Pro"": 2212.14,
  ""Enterprise"": 3514.95
}"
step2_evaluation.csv,Calculate ARPU by industry segment for customers who were active in January 2023. Use 2023 profit data to determine average revenue per user by industry.,"{
  ""Education"": 1685.72,
  ""Tech"": 1658.75,
  ""Healthcare"": 1750.67,
  ""Retail"": 1500.19,
  ""Other"": 923.82
}"
step2_evaluation.csv,What is the ARPU by acquisition channel for customers who were active in January 2023? Calculate using their 2023 profit data.,"{
  ""Affiliate"": 1411.12,
  ""Email"": 1405.42,
  ""Social Media"": 1930.52,
  ""Content"": 1383.32,
  ""Paid Search"": 1887.72
}"
step2_evaluation.csv,What was the total profit generated in 2023 by customers who were active in January 2023?,22652.7
